t_date,cust_id,t_amt,services,products_used,city,state,t_details
07-03-2015,4007626,194.49,Outdoor Recreation,Cycling,Flint,Michigan,credit
03-07-2015,4005597,11.88,Dancing,Ballet Bars,Denton,Texas,credit
02-01-2015,4004525,173.51,Puzzles,Jigsaw Puzzles,Dallas,Texas,credit
08-29-2015,4002190,45.53,Outdoor Recreation,Tetherball,Jackson,Mississippi,credit
08-24-2015,4002779,56.2,Combat Sports,Martial Arts,Jacksonville ,Florida,credit
05-01-2015,4001166,10.41,Jumping,Trampoline Accessories,Orange,California,credit
04-09-2015,4009701,109.9,Exercise & Fitness,Weightlifting Belts,Orlando,Florida,credit
04-07-2015,4007720,151.81,Exercise & Fitness,Stopwatches,Boise,Idaho,credit
08-30-2015,4004516,158.14,Jumping,Bungee Jumping,Detroit,Michigan,credit
11-10-2015,4001728,72.32,Team Sports,Curling,Lexington,Kentucky,credit
04-20-2015,4007283,62.9,Winter Sports,Downhill Skiing,Long Beach,California,credit
12-26-2015,4003796,74.49,Exercise & Fitness,Jump Ropes,Columbia,Missouri,credit
03-20-2015,4006554,187.03,Exercise & Fitness,Weightlifting Belts,Philadelphia,Pennsylvania,credit
02-01-2015,4006900,37.4,Outdoor Play Equipment,Playhouses,Durham,North Carolina,credit
06-14-2015,4004623,125.13,Water Sports,Kitesurfing,New York,New York,credit
09-01-2015,4008040,42.05,Jumping,Pogo Sticks,Indianapolis ,Indiana,credit
01-30-2015,4002026,74.78,Games,Mahjong,Madison,Wisconsin,credit
06-22-2015,4005673,24.23,Games,Card Games,Plano,Texas,credit
04-18-2015,4008395,160.98,Team Sports,Indoor Volleyball,Honolulu  ,Hawaii,credit
05-25-2015,4001353,138.88,Games,Card Games,San Antonio,Texas,credit
10-17-2015,4001464,148.57,Dancing,Ballet Bars,Alexandria  ,Virginia,credit
05-28-2015,4003335,165.81,Water Sports,Whitewater Rafting,Orange,California,credit
07-08-2015,4006309,32.12,Water Sports,Whitewater Rafting,Chattanooga,Tennessee,credit
02-26-2015,4008128,103.04,Exercise & Fitness,Medicine Balls,San Diego,California,credit
07-13-2015,4000623,81.07,Indoor Games,Air Hockey,Chattanooga,Tennessee,credit
10-15-2015,4008257,129.75,Outdoor Play Equipment,Lawn Water Slides,Pasadena,California,credit
08-14-2015,4002325,169.18,Winter Sports,Snowmobiling,Detroit,Michigan,credit
07-04-2015,4004550,93.96,Water Sports,Life Jackets,Gilbert,Arizona,credit
09-15-2015,4006474,38.56,Outdoor Play Equipment,Slides,Pasadena,Texas,credit
11-28-2015,4005743,78.16,Gymnastics,Pommel Horses,Eugene,Oregon,credit
02-11-2015,4009119,168.56,Indoor Games,Bowling,Charlotte,North Carolina,credit
10-12-2015,4000957,155.83,Team Sports,Team Handball,Detroit,Michigan,credit
09-24-2015,4009946,10.7,Outdoor Play Equipment,Water Tables,San Francisco,California,cash
03-30-2015,4007690,69.71,Games,Bingo Sets,Buffalo,New York,credit
10-07-2015,4000295,185.25,Water Sports,Surfing,Bellevue,Washington,credit
12-06-2015,4005716,32.33,Team Sports,Soccer,Huntsville,Alabama,cash
08-24-2015,4005290,132.09,Exercise & Fitness,Weightlifting Gloves,Cambridge,Massachusetts,credit
05-11-2015,4003543,59.02,Jumping,Jumping Stilts,McKinney,Texas,credit
05-17-2015,4005939,122.78,Exercise & Fitness,Weight Benches,Denver  ,Colorado,credit
01-15-2015,4004706,196.99,Water Sports,Kitesurfing,Detroit,Michigan,credit
01-14-2015,4002650,133.78,Combat Sports,Boxing,Clarksville,Tennessee,credit
09-13-2015,4005455,55.6,Outdoor Recreation,Track & Field,Montgomery,Alabama,credit
04-17-2015,4005539,90.71,Gymnastics,Gymnastics Rings,Washington,District of Columbia,credit
08-26-2015,4002773,33.51,Gymnastics,Gymnastics Rings,Houston,Texas,cash
10-09-2015,4004618,171.61,Exercise & Fitness,Stopwatches,Orange,California,credit
08-29-2015,4003008,196.94,Gymnastics,Vaulting Horses,Durham,North Carolina,credit
09-04-2015,4008499,132.2,Exercise & Fitness,Gym Mats,Nashville  ,Tennessee,credit
02-28-2015,4006559,118.01,Outdoor Recreation,Lawn Games,Sunnyvale,California,credit
08-29-2015,4008757,33.49,Outdoor Play Equipment,Water Tables,Orlando,Florida,cash
05-15-2015,4000528,152.25,Outdoor Recreation,Deck Shuffleboard,Honolulu  ,Hawaii,credit
12-16-2015,4004439,50.81,Games,Portable Electronic Games,Orlando,Florida,credit
12-01-2015,4005551,10.43,Water Sports,Towed Water Sports,Everett,Washington,cash
12-14-2015,4007367,188.57,Outdoor Recreation,Motorsports,Birmingham,Alabama,credit
08-24-2015,4000319,109.98,Gymnastics,Gymnastics Protective Gear,Miami,Florida,credit
08-01-2015,4006806,170.12,Water Sports,Scuba Diving & Snorkeling,Memphis,Tennessee,credit
03-23-2015,4004946,134.55,Indoor Games,Darts,Las Vegas,Nevada,credit
01-23-2015,4005818,178.61,Team Sports,Indoor Volleyball,Lexington,Kentucky,credit
10-11-2015,4001423,109.4,Indoor Games,Bowling,Buffalo,New York,credit
06-22-2015,4008816,68.22,Team Sports,Beach Volleyball,Orange,California,credit
01-06-2015,4000208,110.7,Winter Sports,Cross-Country Skiing,Baltimore,Maryland,credit
07-11-2015,4004323,30.07,Outdoor Recreation,Lawn Games,Des Moines,Iowa,cash
02-08-2015,4007360,152.45,Team Sports,Team Handball,Charlotte,North Carolina,credit
01-06-2015,4000654,146.23,Water Sports,Life Jackets,Austin,Texas,credit
12-07-2015,4007924,67.63,Team Sports,Indoor Volleyball,Midland,Texas,credit
06-10-2015,4004563,74.8,Exercise & Fitness,Exercise Balls,Omaha,Nebraska,credit
01-30-2015,4007822,98.93,Exercise & Fitness,Foam Rollers,Madison,Wisconsin,credit
06-22-2015,4002206,90.17,Exercise & Fitness,Weight Benches,St. Louis  ,Missouri,credit
05-16-2015,4006446,34.08,Indoor Games,Darts,St. Louis  ,Missouri,cash
02-04-2015,4008563,77.61,Exercise & Fitness,Weightlifting Belts,Denton,Texas,credit
12-05-2015,4004962,39.05,Winter Sports,Cross-Country Skiing,Berkeley,California,cash
01-27-2015,4002192,15.07,Outdoor Play Equipment,Sandboxes,Gilbert,Arizona,cash
04-11-2015,4006778,152.51,Outdoor Recreation,Deck Shuffleboard,Everett,Washington,credit
07-15-2015,4002711,185.89,Exercise & Fitness,Weight Benches,Minneapolis,Minnesota,credit
02-04-2015,4002196,73.37,Games,Dice Games,Newark,New Jersey,credit
10-18-2015,4004702,72.66,Water Sports,Windsurfing,Des Moines,Iowa,credit
10-21-2015,4007097,161.57,Racquet Sports,Badminton,Irving,Texas,credit
02-28-2015,4009870,38.46,Exercise & Fitness,Medicine Balls,Gilbert,Arizona,cash
06-26-2015,4001386,36.38,Indoor Games,Darts,Salem,Oregon,cash
01-30-2015,4004016,195.33,Outdoor Recreation,Deck Shuffleboard,Orange,California,credit
05-04-2015,4003446,55.2,Air Sports,Parachutes,Flint,Michigan,credit
02-13-2015,4001145,45.37,Team Sports,Hockey,San Jose,California,cash
10-22-2015,4005632,190.12,Water Sports,Towed Water Sports,Washington,District of Columbia,credit
04-16-2015,4001505,39.13,Exercise & Fitness,Cardio Machines,San Francisco,California,cash
11-30-2015,4002146,30.15,Outdoor Recreation,Hunting,Gilbert,Arizona,cash
08-27-2015,4008742,149.44,Exercise & Fitness,Yoga & Pilates,Paterson,New Jersey,credit
07-03-2015,4001311,170.6,Outdoor Recreation,Golf,San Francisco,California,credit
09-25-2015,4003850,21.83,Team Sports,Team Handball,Gilbert,Arizona,cash
01-30-2015,4003263,39.84,Games,Bingo Sets,Long Beach,California,cash
11-15-2015,4008344,41.92,Water Sports,Scuba Diving & Snorkeling,Colorado Springs,Colorado,credit
04-24-2015,4003963,114.38,Outdoor Recreation,Skateboarding,Clarksville,Tennessee,credit
07-27-2015,4004398,24.51,Puzzles,Mechanical Puzzles,Hampton  ,Virginia,credit
11-12-2015,4005629,70.82,Games,Poker Chips & Sets,Santa Ana,California,credit
08-29-2015,4006606,16.15,Combat Sports,Wrestling,El Paso,Texas,credit
02-03-2015,4000906,163.66,Exercise & Fitness,Exercise Balls,Rockford,Illinois,credit
06-21-2015,4007780,190.43,Water Sports,Whitewater Rafting,Pasadena,Texas,credit
10-24-2015,4005373,89.13,Outdoor Recreation,Shooting Games,West Valley City,Utah,credit
08-11-2015,4005005,176.65,Team Sports,Cricket,Montgomery,Alabama,credit
05-04-2015,4004160,132.76,Gymnastics,Gymnastics Protective Gear,Plano,Texas,credit
07-30-2015,4002958,39.62,Outdoor Play Equipment,Swing Sets,Vancouver,Washington,credit
02-25-2015,4005977,96.71,Winter Sports,Snowshoeing,Baltimore,Maryland,credit
11-19-2015,4002676,109.84,Outdoor Recreation,Shooting Games,San Jose,California,credit
09-08-2015,4006874,129.34,Gymnastics,Vaulting Horses,San Jose,California,credit
05-26-2015,4000340,190.26,Indoor Games,Darts,McKinney,Texas,credit
08-18-2015,4007155,43.84,Puzzles,Jigsaw Puzzles,Honolulu  ,Hawaii,credit
12-05-2015,4006157,58.46,Exercise & Fitness,Exercise Balls,Baltimore,Maryland,credit
11-30-2015,4002117,38.02,Winter Sports,Downhill Skiing,Charlotte,North Carolina,credit
10-26-2015,4003024,44.44,Exercise & Fitness,Free Weight Bars,Chattanooga,Tennessee,credit
01-09-2015,4005043,166.3,Indoor Games,Foosball,Orange,California,credit
08-31-2015,4005943,72.5,Water Sports,Kitesurfing,Rockford,Illinois,credit
01-20-2015,4003408,159.14,Gymnastics,Gymnastics Mats,Newark,New Jersey,credit
06-08-2015,4002675,96.12,Racquet Sports,Racquetball,Las Vegas,Nevada,credit
02-11-2015,4001040,170.89,Outdoor Recreation,Riding Scooters,Durham,North Carolina,credit
11-04-2015,4007582,162.58,Water Sports,Towed Water Sports,Sacramento,California,credit
10-09-2015,4002094,179.52,Jumping,Pogo Sticks,Honolulu  ,Hawaii,credit
08-05-2015,4005838,162.51,Team Sports,Cheerleading,Cleveland,Ohio,credit
08-28-2015,4002842,136.06,Games,Bingo Sets,Los Angeles,California,credit
07-29-2015,4007116,119.84,Outdoor Recreation,Track & Field,Philadelphia,Pennsylvania,credit
08-14-2015,4004250,96.69,Gymnastics,Pommel Horses,Salem,Oregon,credit
07-01-2015,4000383,152.69,Team Sports,Rugby,Columbia,Missouri,credit
01-15-2015,4002842,58.59,Racquet Sports,Tennis,Midland,Texas,credit
12-16-2015,4009271,136.28,Puzzles,Jigsaw Puzzles,Columbia,Missouri,credit
07-10-2015,4007394,152.17,Air Sports,Air Suits,Eugene,Oregon,credit
09-02-2015,4006018,52.67,Team Sports,Curling,Denver  ,Colorado,credit
04-29-2015,4005497,115.08,Gymnastics,Gymnastics Protective Gear,Charlotte,North Carolina,credit
12-11-2015,4000593,180.36,Combat Sports,Boxing,Green Bay,Wisconsin,credit
10-11-2015,4002334,68.14,Water Sports,Bodyboarding,Oakland,California,credit
11-06-2015,4004005,16.18,Air Sports,Hang Gliding,Salem,Oregon,credit
11-16-2015,4007271,26.12,Indoor Games,Foosball,Columbus,Ohio,credit
03-12-2015,4006399,124.26,Games,Dice Games,San Francisco,California,credit
10-14-2015,4001894,6.15,Team Sports,Football,Atlanta,Georgia,cash
02-27-2015,4008085,107.83,Outdoor Recreation,Skating,Madison,Wisconsin,credit
01-23-2015,4005873,183.32,Racquet Sports,Racquetball,Colorado Springs,Colorado,credit
10-18-2015,4008674,37.48,Team Sports,Soccer,Portland,Oregon,cash
12-19-2015,4006533,44.87,Games,Portable Electronic Games,Sunnyvale,California,cash
12-24-2015,4007174,152.47,Combat Sports,Fencing,Miami,Florida,credit
04-29-2015,4000987,118.17,Team Sports,Indoor Volleyball,Brownsville,Texas,credit
02-24-2015,4006890,20.24,Outdoor Play Equipment,Sandboxes,Alexandria  ,Virginia,cash
09-20-2015,4003332,132.55,Exercise & Fitness,Yoga & Pilates,Springfield,Illinois,credit
07-20-2015,4001160,179.47,Air Sports,Air Suits,Durham,North Carolina,credit
08-16-2015,4001857,123.84,Outdoor Play Equipment,Lawn Water Slides,Kansas City,Missouri,credit
01-24-2015,4003825,85.56,Games,Card Games,Springfield,Illinois,credit
07-31-2015,4008815,78.35,Air Sports,Hang Gliding,Anaheim,California,credit
08-23-2015,4006934,139.68,Combat Sports,Fencing,Gresham,Oregon,credit
03-16-2015,4006383,189.42,Games,Board Games,Alexandria  ,Virginia,credit
08-30-2015,4002092,179.82,Games,Board Games,Centennial,Colorado,credit
09-06-2015,4007058,124.66,Outdoor Play Equipment,Playhouses,Huntsville,Alabama,credit
03-16-2015,4002446,155.04,Outdoor Recreation,Disc Golf,Lowell,Massachusetts,credit
10-06-2015,4008321,162.89,Indoor Games,Foosball,Las Vegas,Nevada,credit
01-26-2015,4008619,19.31,Water Sports,Water Tubing,Vancouver,Washington,cash
02-06-2015,4008246,166.03,Team Sports,Curling,Santa Ana,California,credit
11-18-2015,4000358,177.02,Team Sports,Field Hockey,Milwaukee,Wisconsin,credit
05-26-2015,4001158,147.29,Jumping,Bungee Jumping,Salem,Oregon,credit
02-04-2015,4001625,158.43,Combat Sports,Fencing,Fremont,California,credit
12-15-2015,4002242,82.8,Water Sports,Windsurfing,Dallas,Texas,credit
09-18-2015,4007202,134.53,Racquet Sports,Racquetball,Berkeley,California,credit
01-15-2015,4005311,55.86,Racquet Sports,Squash,Santa Ana,California,credit
08-24-2015,4008929,39.78,Jumping,Pogo Sticks,Las Vegas,Nevada,cash
12-23-2015,4003512,120.65,Jumping,Bungee Jumping,Madison,Wisconsin,credit
03-11-2015,4000358,60.2,Winter Sports,Snowboarding,Orlando,Florida,credit
09-20-2015,4001778,55.12,Jumping,Trampolines,Plano,Texas,credit
05-13-2015,4000032,82.17,Racquet Sports,Racquetball,Lexington,Kentucky,credit
10-04-2015,4006902,79.66,Gymnastics,Springboards,Baltimore,Maryland,credit
12-07-2015,4009919,145.79,Water Sports,Scuba Diving & Snorkeling,Kansas City,Kansas,credit
10-05-2015,4008279,145.42,Outdoor Recreation,Disc Golf,Santa Ana,California,credit
05-22-2015,4004115,44.05,Racquet Sports,Squash,Portland,Oregon,cash
02-22-2015,4007604,59.15,Indoor Games,Air Hockey,Sacramento,California,credit
02-22-2015,4006610,72.65,Exercise & Fitness,Weightlifting Machine Accessories,Orlando,Florida,credit
10-27-2015,4000095,41.69,Indoor Games,Darts,Montgomery,Alabama,cash
11-11-2015,4001681,142.8,Water Sports,Water Polo,Eugene,Oregon,credit
01-01-2015,4009900,181.6,Gymnastics,Balance Beams,Madison,Wisconsin,credit
08-21-2015,4000603,167.46,Team Sports,Hockey,Centennial,Colorado,credit
10-07-2015,4009673,72.3,Water Sports,Kitesurfing,Charlotte,North Carolina,credit
10-30-2015,4003340,114.32,Games,Bingo Sets,Colorado Springs,Colorado,credit
03-03-2015,4006792,31.35,Winter Sports,Downhill Skiing,Cleveland,Ohio,cash
02-23-2015,4004620,100.64,Dancing,Ballet Bars,Pittsburgh,Pennsylvania,credit
08-14-2015,4006021,11.72,Air Sports,Air Suits,Pittsburgh,Pennsylvania,cash
09-22-2015,4005760,192.01,Team Sports,Beach Volleyball,Jersey City,New Jersey,credit
06-19-2015,4000674,155.55,Outdoor Play Equipment,Slides,Cleveland,Ohio,credit
01-14-2015,4002340,106.57,Outdoor Recreation,Motorsports,El Paso,Texas,credit
02-01-2015,4005508,32.68,Combat Sports,Wrestling,Sunnyvale,California,cash
09-06-2015,4008793,15.88,Gymnastics,Springboards,Coral Springs,Florida,cash
06-28-2015,4002482,86.92,Water Sports,Water Tubing,Boise,Idaho,credit
02-12-2015,4001671,153.72,Gymnastics,Gymnastics Rings,Jersey City,New Jersey,credit
10-07-2015,4006572,175.88,Indoor Games,Bowling,Chattanooga,Tennessee,credit
01-14-2015,4000607,93.96,Gymnastics,Vaulting Horses,Saint Paul,Minnesota,credit
06-07-2015,4005387,184.24,Team Sports,Curling,Montgomery,Alabama,credit
09-09-2015,4001592,12.06,Outdoor Recreation,Disc Golf,Chattanooga,Tennessee,cash
10-04-2015,4005943,165.05,Team Sports,Team Handball,Denton,Texas,credit
04-26-2015,4001812,142.33,Outdoor Play Equipment,Playhouses,Tampa,Florida,credit
03-09-2015,4004628,178.25,Outdoor Recreation,Archery,Salt Lake City,Utah,credit
04-04-2015,4002708,61.21,Team Sports,Rugby,Flint,Michigan,credit
03-14-2015,4006702,152.31,Exercise & Fitness,Cardio Machines,Las Vegas,Nevada,credit
01-08-2015,4001717,178.61,Indoor Games,Bowling,Omaha,Nebraska,credit
11-10-2015,4009638,61.96,Team Sports,Cheerleading,West Valley City,Utah,credit
06-25-2015,4004259,73.97,Indoor Games,Air Hockey,Huntsville,Alabama,credit
05-02-2015,4003126,132.93,Outdoor Recreation,Geocaching,Columbia,Missouri,credit
02-21-2015,4007004,154.92,Combat Sports,Martial Arts,Denton,Texas,credit
03-24-2015,4009387,125.4,Games,Card Games,Tampa,Florida,credit
04-09-2015,4008616,63.72,Indoor Games,Table Shuffleboard,Charleston,South Carolina,credit
10-02-2015,4003773,95.71,Jumping,Bungee Jumping,Pasadena,Texas,credit
04-13-2015,4002903,17.35,Racquet Sports,Tennis,Milwaukee,Wisconsin,credit
09-09-2015,4009113,46.24,Air Sports,Air Suits,Des Moines,Iowa,credit
09-11-2015,4004984,6.84,Combat Sports,Wrestling,Colorado Springs,Colorado,credit
10-09-2015,4005701,43.94,Games,Dominoes,Fremont,California,credit
08-10-2015,4004736,191.94,Outdoor Play Equipment,Slides,Durham,North Carolina,credit
03-20-2015,4006804,113.14,Team Sports,Basketball,Kansas City,Kansas,credit
08-09-2015,4004339,167.86,Gymnastics,Gymnastics Protective Gear,Columbia,Missouri,credit
05-24-2015,4003063,143.61,Games,Dominoes,San Antonio,Texas,credit
08-12-2015,4001580,30.9,Exercise & Fitness,Free Weight Bars,Irvine,California,credit
11-16-2015,4008406,154.9,Outdoor Play Equipment,Water Tables,Dallas,Texas,credit
